 	Mean1	Mean2	Mean3	Mean4	Mean5	Mean6	Mean7	Mean8	Mean9	Mean10	Mean11	Mean12	Mean13	Mean14	Mean15	Mean16	Mean17	Mean18	Mean19	Mean20	Mean21	Mean22	Mean23	Mean24	Mean25	Mean26	Mean27	Mean28	Mean29	Mean30	Mean31	Mean32	Mean33	Mean34	Mean35	Mean36	Mean37	Mean38	Mean39	Mean40	Mean41	Mean42	Mean43	Mean44	Mean45	Mean46	Mean47	Mean48	Mean49	Mean50	Mean51	Mean52	Mean53	Mean54	Mean55	Mean56	Mean57	Mean58	Mean59	Mean60	Mean61	Mean62	Mean63	Mean64	Mean65	Mean66	Mean67	Mean68	Mean69	Mean70	Mean71	Mean72	Mean73
1	1420.210	1307.380	1938.919	1218.376	3238.161	1092.205	1513.971	1000.185	757.048	721.695	812.309	2866.063	2123.333	910.846	1428.728	754.468	783.325	1350.332	2054.194	723.454	3443.363	1275.280	1361.744	1591.536	1294.390	989.940	1247.791	1090.525	2347	2787.232	1227.250	1126.671	1336.896	1959.660	1832.661	1712.374	1584.691	1059.795	1187.899	1883.781	2768.340	1723.336	1892.833	1624.923	1368.459	1446.159	2300.079	3165.286	1278.698	1371.908	1297.415	1233.644	1229.414	1193.079	1287.130	1049.806	1256.680	1656.633	1541.490	1342.301	1120.834	1001.217	1065.447	1058.825	2417.816	1249.508	1281.591	1281.054	995.830	1197.356	1762.750	1241.570	2186.418
2	1330.064	1414.425	1763.549	1137.593	3212.802	1089.915	1415.813	930.889	692.069	666.844	778.853	2843.224	2051.650	874.034	1373.005	722.786	721.947	1237.060	1839.488	709.825	3405.236	1207.796	1528.166	1474.121	1213.922	974.722	1238.813	1037.543	2115.874	2706.108	1162.775	1051.797	1360.969	1909.946	1744.104	1869.805	1522.623	1066.341	1159.757	1770.194	2752.438	1813.602	1784.023	1591.053	1277.778	1370.672	2202.953	3081.625	1225.076	1322.046	1217.964	1161.199	1264.442	1126.953	1301.669	1014.042	1220.710	1577.079	1373.255	1314.394	1057.650	978.275	998.386	984.526	2415.460	1211.243	1254.261	1258.372	956.836	1149.435	1812.618	1192.465	2066.702
3	1239.146	1414.779	1578.491	1064.348	3182.547	1021.153	1308.556	851.545	621.552	634.874	711.309	2737.943	1947.754	803.707	1251.815	635.468	662.318	1137.523	1682.834	644.933	3292.302	1121.114	1560.803	1392.121	1164.234	930.238	1162.236	987.534	1911.802	2592.768	1100.570	1007.332	1331.221	1832.872	1569.435	1968.719	1431.920	974.574	1082.426	1610.028	2621.231	1700.344	1632.394	1449.227	1153.433	1247.296	2019.058	2897.802	1144.142	1187.713	1146.949	1059.889	1174.641	1061.837	1203.479	938.103	1127.920	1451.865	1202.637	1248.266	940.102	895.208	918.015	837.614	2272.313	1102.961	1113.540	1171.696	882.952	1039.445	1711.169	1119.548	2009.907
4	1149.267	1357.080	1446.509	979.344	3116.078	937.966	1196.205	767.947	558.317	600.222	716.684	2615.299	1784.842	734.019	1203.979	600.294	585.583	1089.608	1461.829	596.557	3230.712	997.185	1516.067	1354.207	1076.712	891.775	1141.813	914.968	1724.018	2405.973	1025.980	936.238	1233.957	1724.010	1497.026	1953.687	1347.486	900.102	996.899	1490.507	2556.773	1664.148	1494.602	1353.048	1074.124	1134.741	1902.563	2817.839	1047.942	1127.559	1062.113	954.143	1073.409	951.084	1051.308	874.958	1035.210	1377.747	1105.721	1215.133	853.420	840.733	802.083	747.916	2253.681	1065.503	1064.409	1095.365	800.830	971.890	1642.147	1068.996	1852.938
5	1080.153	1400.310	1352.988	949.330	3139.036	896.290	1167.164	749.048	544.393	582.275	675.868	2531.615	1735.142	730.812	1183.313	574.349	542.291	1033.678	1300.431	575.015	3219.453	1004.934	1461.072	1346.029	1057.098	864.589	1077.819	887.621	1576.287	2316.692	979.665	927.322	1146.092	1708.818	1420.061	1935.996	1342.811	885.733	962.378	1446.590	2534.734	1660.367	1471.985	1328.372	1047.376	1106.942	1847.637	2772.953	1031.120	1085.641	1034.185	954.542	1048.945	939.237	1028.953	832.400	1012.980	1359.773	1030.485	1190.788	809.599	797.758	756.220	710.104	2252.313	1040.105	1025.051	1061.878	811.648	945.257	1587.562	1022.226	1797.124
6	1227.446	1609.327	1329.393	941.995	3189.594	907.244	1286.029	777.074	576.303	587.006	685.735	2555.805	1753.842	726.745	1202.118	577.484	548.119	1036.447	1214.412	576.397	3221.948	1011.081	1425.928	1325.936	1059.493	866.894	1107.044	886.945	1571.162	2303.876	993.450	949.517	1146.681	1713.576	1461.152	1950.809	1358.914	880.830	1002.919	1438.305	2469.108	1645.977	1466.610	1318.681	1080.866	1122.386	1806.753	2727.120	1073.187	1126.472	1118.091	975.898	1024.110	946.605	1035.763	864.412	1016.245	1401.087	1001.858	1192.626	822.860	797.775	732.379	723.283	2243.914	1045.912	1041.290	1054.189	820.715	948.487	1579.276	1038.596	1811.280
7	1464.166	2050.867	1297.289	967.380	3163.036	930.568	1370.503	812.032	570.414	606.395	697.904	2529.500	1774.836	748.077	1316.359	587.444	557.411	1081.809	1195.398	605.856	3283.439	1053.446	1465.170	1369.357	1073.980	900.596	1135.198	914.429	1555.988	2236.227	1027.235	956.643	1151.675	1739.079	1587.670	2123.919	1412.463	959.852	1011.743	1415.632	2531.769	1703.117	1498.148	1354.990	1091.119	1142.291	1842.079	2720.766	1216.533	1173.472	1280.473	967.972	1063.967	973.800	1060.846	874.303	1154.070	1554.978	978.201	1254.714	850.911	825.783	782.621	703.096	2284.515	1070.779	1091.074	1115.128	850.915	971.408	1622.823	1080.396	1849.911
8	1681.478	2064.239	1363.723	998.909	3141.609	912.847	1356.977	842.624	557.600	597	691.735	2509.879	1742.164	745.986	1338.256	602.667	571.748	1169.714	1148.588	602.253	3307.137	1057.052	1429.561	1358.979	1070.483	906.404	1156.368	957.023	1509.880	2218.562	1022.755	957.867	1142.675	1765.517	1633.870	2150.199	1403.606	946.960	1011.412	1410.405	2531.443	1668.539	1512.455	1377.203	1106.350	1147.217	1793.763	2683.724	1257.458	1166.262	1242.811	992.046	1061.028	955.605	1030.817	885.794	1129.180	1562.755	939.980	1273.813	872.051	813.525	757.045	672.717	2319.742	1092.425	1106.773	1105.851	855.394	997.382	1602.776	1085.613	1845.978
9	2005.605	1943.177	1348.110	960.303	3214.292	901.562	1349.415	782.021	559.372	605.737	681.985	2544.914	1772.683	742.514	1346.867	614.865	605.391	1190.603	1132.839	598.969	3326.868	1070.806	1395.292	1382.586	1092.429	890.967	1175.582	926.913	1467.287	2177.032	1041.700	987.622	1137.018	1740	1781.217	2154.281	1398.829	966.835	1000.554	1410.330	2457.394	1646.508	1467.981	1350.908	1091.268	1172.217	1758.416	2626.135	1346.649	1161.041	1212.778	1005.097	1043.961	984.784	1021.414	877.952	1196.185	1552.507	938.657	1273.512	850.459	829.083	760.970	660.462	2267.724	1084.917	1105.784	1149.527	881.042	975.963	1593.518	1067.600	1886.378
10	2080.713	1967.354	1287	980.914	3279.708	913.250	1383.228	777.804	534.055	635.485	694.890	2548.552	1801.951	728.062	1261.949	592.365	616.106	1128.930	1067.531	572.959	3271.316	1046.962	1352.619	1391.743	1059.781	916.907	1150.275	900.708	1461.024	2178.411	1025.705	969.101	1141.135	1749.044	2014.852	2051.094	1391.640	947.102	992.716	1437.536	2499.660	1616.602	1412.174	1338.802	1037.840	1169.788	1687.368	2506.219	1489.449	1152.790	1204.727	987.861	1058.983	968.658	1009.408	867.533	1243.795	1541.611	920.623	1259.020	866.541	805.450	746.106	632.884	2258.196	1110.624	1126.188	1115.223	843.745	965.063	1566.846	1053.074	1833.338
