 	Mean1	Mean2	Mean3	Mean4	Mean5	Mean6	Mean7	Mean8	Mean9	Mean10	Mean11	Mean12	Mean13	Mean14	Mean15	Mean16	Mean17	Mean18	Mean19	Mean20	Mean21	Mean22	Mean23	Mean24	Mean25	Mean26	Mean27	Mean28	Mean29	Mean30	Mean31	Mean32	Mean33	Mean34	Mean35	Mean36	Mean37	Mean38	Mean39	Mean40	Mean41	Mean42	Mean43	Mean44	Mean45	Mean46	Mean47	Mean48	Mean49	Mean50	Mean51	Mean52	Mean53	Mean54	Mean55	Mean56	Mean57	Mean58	Mean59	Mean60	Mean61	Mean62
1	1488.659	1893.000	1315.561	3398.932	1247.058	1535.656	1001.564	701.440	1634.151	835.273	944.024	1558.923	742.160	2155.731	2916.439	3072.457	2480.719	2046.265	1817.540	1511.022	1916.794	1153.133	1318.182	2220.978	2011.000	1733.154	1340.964	1312.000	822.514	1285.281	1094.912	1820.484	1399.812	2433.641	2919.182	1685.190	2271.487	3790.214	1939.211	1726.545	1357.622	1254.676	1550.000	1160.077	2239.192	3860.031	1070.429	1193.810	2584.206	1036.096	1481.692	1713.020	1223.688	1043.405	1214.548	1073.818	1271.177	1303.027	1193.867	1218.156	1736.469	773.267
2	1396.568	1709.353	1389.366	3384.636	1176.923	1434.312	926.308	646.480	1515.000	750.909	900.571	1496.744	724.240	1914.865	2892.439	2989.343	2386.031	2126.618	2012.600	1448.933	1873.853	1070.911	1323.182	2080.778	1926.973	1658.949	1257.107	1284.481	773.314	1266.438	1043.441	1794.742	1333.500	2420.718	2885.795	1635.310	2158.256	3716.572	2080.000	1637.364	1267.514	1195.568	1409.250	1122.962	2016.231	3814.969	1044.381	1175.714	2454.088	1018.865	1351.538	1506.922	1185.781	1055.216	1136.405	1043.568	1214.206	1242.054	1134.100	1259.031	1650.500	766.950
3	1300.568	1548.441	1339.293	3360.023	1101.019	1334.656	853.154	573.160	1392.849	690.667	825.119	1374.000	626.800	1758.288	2793.171	2888.343	2281.062	2021.529	2134.500	1374.289	1808.265	1028.111	1288.879	1879.200	1731.108	1533.077	1214.071	1155.000	723.829	1201.969	989.147	1658.548	1249.062	2287.846	2738.864	1499.881	1967.282	3507.214	1947.316	1501.091	1162.811	1110.189	1321.312	1058.923	1854.462	3734.281	971.429	1094.000	2425.000	955.808	1177.538	1325.804	1125.375	961.189	1044.524	957.523	1135.471	1166.351	1047.267	1161.969	1496.594	713.117
4	1205.886	1407.912	1273.171	3295.182	1004.692	1229.875	775.462	511.440	1324.242	606.000	761.095	1330.410	603.360	1529.288	2662.293	2682.943	2089.250	1948.647	2113.340	1286.800	1711.559	973.400	1165.333	1758.644	1657.649	1454.564	1117.000	1114.222	707.457	1184.938	934.529	1560.323	1142.438	2251.821	2663.591	1377.738	1857.821	3435.786	1930.579	1385.673	1080.270	1048.297	1276.938	991.115	1683.500	3666.594	906.810	1033.667	2247.735	915.885	1124.192	1197.569	1072.594	887.108	938.833	901.023	1011.382	1101.486	954.100	1119.188	1382.625	639.400
5	1140.273	1318.823	1297.537	3314.477	975.327	1207.594	761.256	496.840	1272.667	559.121	762.738	1304.026	571.920	1348.135	2587.049	2574.428	2038.406	1876.823	2096.920	1288.511	1681.941	960.756	1091.879	1695.933	1574.676	1446.128	1075.607	1068.778	672.657	1126.500	915.559	1533.581	1112.781	2248.872	2650.682	1362.690	1798.026	3369.678	1945.263	1363.055	1046.919	998.351	1284.500	961.308	1521.038	3656.219	865.762	1039.667	2182.677	891.712	1043.962	1158.431	1023.938	886.324	944.833	864.159	1029.912	1073.757	895.033	1042.469	1297.688	612.733
6	1272.636	1289.706	1458.366	3368.864	968.212	1317.844	785.205	537.120	1269.818	562.939	757.548	1333.718	582.440	1259.423	2614.171	2527.657	2053.031	1856.235	2118.100	1285.378	1703.529	973.533	1112.879	1669.156	1604.297	1491.385	1203.107	1107.593	681.686	1148.094	906.824	1528.032	1173.156	2247.590	2582.477	1355.548	1761.256	3325.822	1910.789	1366.655	1087.243	1017.973	1253.500	957.769	1528.577	3642.969	913.095	1024.857	2200.029	886.942	1033.269	1138.353	1044.156	869.081	956.690	892.432	1017.471	1104.973	934.500	1001.906	1311.281	613.617
7	1503.091	1251.971	1805.171	3347.000	984.577	1393.719	824.667	520.720	1307.333	573.909	779.619	1474.410	592.960	1230.865	2593.098	2443.314	2080.031	1928.265	2314.060	1354.667	1742.059	983.133	1101.455	1633.689	1758.135	1678.333	1392.714	1137.519	698.171	1173.938	913.353	1605.645	1363.438	2282.487	2667.614	1380.238	1802.103	3315.000	1970.789	1392.873	1091.649	1046.270	1316.188	971.923	1509.654	3685.719	907.333	1018.286	2219.088	918.442	1102.154	1144.902	1056.625	944.432	958.857	911.545	1044.529	1150.919	972.167	1086.031	1360.125	628.500
8	1759.818	1309.323	1824.219	3334.227	1018.385	1387.906	837.590	522.440	1450.758	594.182	775.619	1485.795	609.240	1189.000	2557.902	2431.400	2046.500	1881.294	2354.820	1364.511	1742.323	979.689	1100.970	1605.000	1783.811	1692.282	1355.143	1139.037	687.029	1194.031	954.471	1587.935	1422.469	2333.923	2681.659	1381.143	1753.641	3279.428	1941.684	1427.873	1089.622	1035.189	1316.312	954.923	1428.192	3760.562	908.667	1046.524	2221.794	935.038	1138.769	1172.333	1064.531	930.865	981.452	908.250	1049.559	1179.297	953.667	1060.688	1391.250	635.367
9	2090.659	1291.441	1722.634	3406.023	980.404	1383.844	784.205	516.640	1476.485	624.758	780.405	1498.385	611.680	1158.058	2605.658	2367.514	2073.125	1884.353	2365.940	1354.111	1726.677	1013.867	1088.303	1605.089	2002.405	1686.564	1327.214	1121.185	673.543	1220.312	930.706	1637.903	1570.750	2263.744	2615.955	1377.357	1723.641	3200.714	1936.263	1389.873	1069.703	1059.135	1345.250	975.423	1376.962	3789.094	905.143	1050.619	2260.265	913.500	1083.115	1186.059	1052.969	943.270	1004.643	909.318	1070.706	1209.892	946.200	1065.906	1408.500	609.817
10	2204.977	1234.853	1736.439	3486.591	999.596	1424.844	767.513	488.840	1386.727	632.636	770.262	1394.667	593.360	1100.404	2599.610	2395.343	2110.719	1845.912	2237.460	1350.644	1728.471	989.267	1097.849	1651.933	2307.297	1677.410	1279.179	1110.296	709.686	1189.062	926.382	1579.581	1779.844	2257.205	2653.818	1371.595	1670.923	3070.928	1886.632	1332.091	1032.432	1047.973	1343.375	957.038	1362.692	3748.406	893.190	1026.238	2198.323	928.788	1085.077	1187.961	1031.750	924.622	971.333	885.636	1057.618	1171.892	957.600	1013.656	1297.781	604.983
11	2057.932	1238.912	1762.146	3466.636	1060.212	1472.719	809.231	516.600	1364.849	660.212	777.595	1405.000	591.320	1012.038	2629.049	2443.257	2187.344	1847.559	2046.040	1322.978	1686.088	974.267	1076.424	1762.133	2340.946	1718.615	1333.714	1087.111	739.543	1153.344	917.118	1620.903	1751.688	2288.513	2640.273	1412.810	1631.718	2937.678	1945.684	1352.836	1042.135	1041.622	1330.750	936.038	1385.962	3709.625	899.000	1048.429	2167.912	991.750	1088.500	1169.686	1088.094	910.054	977.643	893.659	1062.118	1200.811	962.600	973.656	1299.656	600.917
12	1930.000	1246.706	1786.439	3528.091	1125.904	1981.781	893.538	524.400	1337.818	690.515	790.214	1454.923	575.000	1013.885	2749.927	2492.857	2255.688	1852.412	1887.280	1289.044	1628.500	995.489	1079.364	1771.333	2438.081	1736.256	1426.321	1115.037	783.257	1200.938	955.176	1605.323	1872.812	2294.872	2641.341	1441.738	1604.410	2722.428	1877.053	1344.673	1120.541	1106.919	1287.062	995.615	1427.808	3592.812	920.714	1059.333	2217.941	960.404	1120.154	1170.980	1101.594	923.973	1093.881	933.864	1070.706	1199.892	1022.400	975.688	1310.781	616.083
13	1870.023	1315.265	1847.439	3481.227	1259.596	2477.219	891.897	541.040	1387.939	711.151	864.786	1525.897	598.080	1032.962	2778.342	2648.686	2443.156	1934.559	1833.760	1345.444	1723.294	1045.311	1147.030	1863.378	2409.541	1924.513	1645.679	1173.407	1067.800	1311.281	1000.441	1739.226	2094.875	2428.103	2703.818	1499.762	1565.000	2642.643	1908.421	1381.873	1167.973	1141.081	1393.625	1011.308	1510.577	3673.469	952.571	1064.476	2273.294	1022.808	1236.115	1253.118	1140.406	981.270	1176.976	982.591	1097.147	1296.243	1149.833	989.750	1386.875	657.933
