ensGene	geneSymb	ESC.RPKM	MES.RPKM	CP.RPKM	CM.RPKM
ENSMUSG00000000134	Tcfe3	14.92599	6.080252	7.205497	5.5972915
ENSMUSG00000000708	Kat2b	9.379815	0.37079784	1.1033436	5.6754346
ENSMUSG00000000948	Snrpn	40.668293	14.529371	13.403415	23.01873
ENSMUSG00000001054	Rmnd5b	43.369095	7.0136724	14.050683	11.829396
ENSMUSG00000001366	Fbxo9	7.6720843	6.9369035	6.499769	6.778531
ENSMUSG00000001482	Def8	24.153797	15.451096	15.014166	13.819534
ENSMUSG00000001542	Ell2	8.156232	3.5004125	3.5680292	2.2641196
ENSMUSG00000001627	Ifrd1	28.733929	16.701181	15.508437	12.778727
ENSMUSG00000001642	Akr1b3	4.319858	1.9163351	1.2716209	0.82428175
ENSMUSG00000001687	Ubl3	28.78591	9.088697	9.046656	20.373514
ENSMUSG00000002227	Mov10	29.740297	3.2102342	6.25411	9.091757
ENSMUSG00000002635	Pdcd2l	30.69546	18.50777	15.635618	15.247209
ENSMUSG00000002660	Clpp	93.85232	51.403442	32.20393	33.370808
ENSMUSG00000002767	Mrpl2	86.59501	61.894024	50.002293	51.35253
ENSMUSG00000002963	Pnkp	8.918158	5.5222096	6.193148	6.496989
ENSMUSG00000002983	Relb	7.0391517	1.501116	1.7450844	2.5017977
ENSMUSG00000003032	Klf4	41.70846	7.747598	4.1997404	6.5344357
ENSMUSG00000003662	Ciao1	15.639003	11.429388	9.724962	11.069197
ENSMUSG00000003813	Rad23a	30.253717	16.276289	15.284632	21.372665
ENSMUSG00000004285	Atp6v1f	30.517672	23.897362	24.671564	25.907063
ENSMUSG00000004568	Arhgef18	13.561201	6.151879	5.004999	6.8743706
ENSMUSG00000004667	Polr2e	91.243706	51.02243	36.53202	33.37132
ENSMUSG00000004934	Pias4	17.091509	14.32862	14.405196	14.148125
ENSMUSG00000005370	Msh6	171.88708	60.83987	26.923882	11.9851465
ENSMUSG00000005413	Hmox1	50.56266	18.187332	21.086767	18.182812
ENSMUSG00000005667	Mthfd2	57.926224	15.67067	10.048753	5.39477
ENSMUSG00000006024	Napa	28.583822	27.2139	26.652285	26.816381
ENSMUSG00000006273	Atp6v1b2	33.362495	26.029385	25.34948	29.000765
ENSMUSG00000006445	Epha2	55.124245	2.2202444	9.517916	13.069703
ENSMUSG00000006599	Gtf2h1	34.34013	17.95093	12.451276	10.64472
ENSMUSG00000008226	Scrn3	4.1785707	1.995986	2.0269248	3.0000775
ENSMUSG00000008976	Gabpa	21.696678	13.585497	10.1807995	11.105776
ENSMUSG00000009092	Derl3	5.946663	1.0241153	1.0031081	2.789411
ENSMUSG00000009566	Fpgs	30.840183	12.203447	11.003968	6.6344833
ENSMUSG00000010095	Slc3a2	160.90398	61.345776	49.544388	52.324173
ENSMUSG00000010277	2610507B11Rik	46.278606	33.92735	29.697454	29.64091
ENSMUSG00000010342	Tex14	5.710173	0.07403243	0.03386452	0.05406854
ENSMUSG00000010362	Rdm1	30.608973	7.5418134	15.161645	14.896137
ENSMUSG00000010517	Faf1	23.406393	15.09968	11.689947	14.341011
ENSMUSG00000010755	Cars	36.852676	11.568521	8.558161	6.484637
ENSMUSG00000011306	Sugp1	21.558422	17.028313	17.130732	16.205227
ENSMUSG00000011752	Pgam1	18.889431	14.217062	13.505402	13.519832
ENSMUSG00000012422	Tmem167	21.857119	19.283943	19.832203	20.245398
ENSMUSG00000013089	Etv5	96.36009	13.684287	12.372448	9.439564
ENSMUSG00000014243	Zswim7	21.505873	11.200338	6.368431	8.595316
ENSMUSG00000014245	Pigl	11.910542	2.2232392	2.9090288	4.9887466
ENSMUSG00000014771	Pdcd2	14.070256	8.2258005	6.7316065	6.4703784
ENSMUSG00000015656	Hspa8	12.855583	4.8703	3.6786883	3.908809
ENSMUSG00000015672	Mrpl32	18.181847	13.386182	11.757939	13.001959
ENSMUSG00000015711	Prune	18.908281	9.6067	10.895005	13.081924
ENSMUSG00000016319	Slc25a5	153.43483	81.85234	43.898067	66.60141
ENSMUSG00000016526	Dyrk3	29.040054	9.172229	5.612437	1.1890336
ENSMUSG00000017307	Acot8	10.665763	7.091545	6.056541	6.288652
ENSMUSG00000017764	Zswim1	32.241478	8.387734	5.1007185	5.380658
ENSMUSG00000017861	Mybl2	91.75637	13.438772	9.437593	1.8704433
ENSMUSG00000018102	Hist1h2bc	9.735805	0.6043264	2.2440093	3.3340082
ENSMUSG00000018189	Uchl5	44.90131	22.3807	15.49698	12.276514
ENSMUSG00000018425	Dhx40	12.311963	10.544604	10.262418	11.190503
ENSMUSG00000018501	Ncor1	25.453058	15.701105	18.697493	20.266855
ENSMUSG00000018821	Avpi1	54.603817	10.612494	12.380461	20.08574
ENSMUSG00000018882	Mrpl45	42.499546	20.95095	16.304193	21.0513
ENSMUSG00000018899	Irf1	12.265245	3.7059786	1.6460994	3.40636
ENSMUSG00000019505	Ubb	244.87315	178.56075	164.95854	151.60675
ENSMUSG00000019813	Cep57l1	9.901052	4.2594976	4.3847947	3.3490603
ENSMUSG00000019970	Sgk1	41.26326	11.863188	4.7444725	2.4121401
ENSMUSG00000020003	Pex7	7.1589622	4.441505	4.4778376	5.3668356
ENSMUSG00000020038	Cry1	16.481627	11.145175	10.126714	10.301997
ENSMUSG00000020128	Vps54	9.336447	6.6596484	6.2586412	6.24389
ENSMUSG00000020149	Rab1	59.478096	39.427074	35.968903	41.444664
ENSMUSG00000020184	Mdm2	32.686172	15.687049	16.863976	24.973341
ENSMUSG00000020228	Helb	20.84653	5.4977837	5.01803	8.712501
ENSMUSG00000020634	Ubxn2a	19.980762	2.8615372	3.683855	4.8908496
ENSMUSG00000020743	Mif4gd	29.417759	8.184753	8.660849	7.5624046
ENSMUSG00000020956	6530401N04Rik	7.5805516	2.4769423	3.7547183	2.8566647
ENSMUSG00000021023	1110008L16Rik	11.257552	4.9764786	3.3490474	2.6475737
ENSMUSG00000021555	Naa35	31.92021	27.70158	28.817644	28.413536
ENSMUSG00000021671	Poc5	10.496496	7.205953	6.919148	6.623908
ENSMUSG00000021759	Ppap2a	10.37285	5.274412	6.776563	7.5379148
ENSMUSG00000021767	Myst4	31.880117	4.1159835	7.001584	6.289191
ENSMUSG00000021794	Glud1	98.44317	42.211143	38.353573	33.268036
ENSMUSG00000021807	2700060E02Rik	56.336544	39.027813	36.560783	36.389843
ENSMUSG00000021871	Pnp	30.150953	10.515015	10.350012	4.6408587
ENSMUSG00000021906	Oxnad1	21.878435	7.248758	4.9415236	8.780262
ENSMUSG00000021967	Mrp63	69.07294	49.75179	39.45102	44.74882
ENSMUSG00000022009	Nufip1	17.12788	8.796484	5.5739183	5.400618
ENSMUSG00000022177	Haus4	26.281752	12.49946	15.853793	13.290055
ENSMUSG00000022204	Ngdn	45.23805	28.382998	26.68097	23.533792
ENSMUSG00000022312	Eif3h	139.49332	111.31953	109.041145	112.00858
ENSMUSG00000022419	Deptor	4.78996	1.5609951	0.48986226	0.69190353
ENSMUSG00000022474	Pmm1	63.942974	15.546064	12.739202	16.964075
ENSMUSG00000022545	Ercc4	5.1042585	2.7745771	3.0665703	2.72241
ENSMUSG00000022574	Naprt1	9.311101	2.7872221	4.562113	3.9216938
ENSMUSG00000022679	Mpv17l	2.7817738	0.4292306	0.55011505	1.405969
ENSMUSG00000022682	Rrn3	95.393845	37.886658	29.53322	21.300957
ENSMUSG00000022710	Usp7	99.69938	43.36204	33.086422	19.816856
ENSMUSG00000022751	Nit2	27.529623	13.283696	14.204147	13.402924
ENSMUSG00000022779	Top3b	16.316074	7.697035	7.382384	5.990956
ENSMUSG00000022789	Dnm1l	28.29764	19.193346	18.412624	23.911509
ENSMUSG00000022843	Clcn2	8.531487	4.406507	3.6581678	3.3352823
